Matrix A:
2	11	43	43	31	47	
27	28	5	36	48	7	
6	36	4	16	31	2	
4	30	6	30	11	11	
1	28	40	24	25	32	
21	39	28	31	41	19	

Matrix B:
23	43	24	4	6	42	
31	26	43	7	43	22	
37	33	8	8	27	26	
47	35	30	33	8	18	
47	2	37	46	11	31	
48	5	43	32	14	47	

d_a[68] = 0.000000, d_b[68] = 0.000000, sum[68] = 0.000000 
d_a[69] = 0.000000, d_b[69] = 0.000000, sum[69] = 0.000000 
d_a[70] = 0.000000, d_b[70] = 0.000000, sum[70] = 0.000000 
d_a[71] = 0.000000, d_b[71] = 0.000000, sum[71] = 0.000000 
d_a[32] = 43.000000, d_b[32] = 28.000000, sum[32] = 71.000000 
d_a[33] = 32.000000, d_b[33] = 31.000000, sum[33] = 63.000000 
d_a[34] = 14.000000, d_b[34] = 41.000000, sum[34] = 55.000000 
d_a[35] = 47.000000, d_b[35] = 19.000000, sum[35] = 66.000000 
d_a[104] = 0.000000, d_b[104] = 0.000000, sum[104] = 0.000000 
d_a[105] = 0.000000, d_b[105] = 0.000000, sum[105] = 0.000000 
d_a[106] = 0.000000, d_b[106] = 0.000000, sum[106] = 0.000000 
d_a[107] = 0.000000, d_b[107] = 0.000000, sum[107] = 0.000000 
d_a[44] = 0.000000, d_b[44] = 0.000000, sum[44] = 0.000000 
d_a[45] = 0.000000, d_b[45] = 0.000000, sum[45] = 0.000000 
d_a[46] = 0.000000, d_b[46] = 0.000000, sum[46] = 0.000000 
d_a[47] = 0.000000, d_b[47] = 0.000000, sum[47] = 0.000000 
d_a[74] = 0.000000, d_b[74] = 0.000000, sum[74] = 0.000000 
d_a[75] = 0.000000, d_b[75] = 0.000000, sum[75] = 0.000000 
d_a[76] = 0.000000, d_b[76] = 0.000000, sum[76] = 0.000000 
d_a[77] = 0.000000, d_b[77] = 0.000000, sum[77] = 0.000000 
d_a[116] = 0.000000, d_b[116] = 0.000000, sum[116] = 0.000000 
d_a[117] = 0.000000, d_b[117] = 0.000000, sum[117] = 0.000000 
d_a[118] = 0.000000, d_b[118] = 0.000000, sum[118] = 0.000000 
d_a[119] = 0.000000, d_b[119] = 0.000000, sum[119] = 0.000000 
d_a[38] = 0.000000, d_b[38] = 0.000000, sum[38] = 0.000000 
d_a[39] = 0.000000, d_b[39] = 0.000000, sum[39] = 0.000000 
d_a[40] = 0.000000, d_b[40] = 0.000000, sum[40] = 0.000000 
d_a[41] = 0.000000, d_b[41] = 0.000000, sum[41] = 0.000000 
d_a[80] = 0.000000, d_b[80] = 0.000000, sum[80] = 0.000000 
d_a[81] = 0.000000, d_b[81] = 0.000000, sum[81] = 0.000000 
d_a[82] = 0.000000, d_b[82] = 0.000000, sum[82] = 0.000000 
d_a[83] = 0.000000, d_b[83] = 0.000000, sum[83] = 0.000000 
d_a[110] = 0.000000, d_b[110] = 0.000000, sum[110] = 0.000000 
d_a[111] = 0.000000, d_b[111] = 0.000000, sum[111] = 0.000000 
d_a[112] = 0.000000, d_b[112] = 0.000000, sum[112] = 0.000000 
d_a[113] = 0.000000, d_b[113] = 0.000000, sum[113] = 0.000000 
d_a[0] = 23.000000, d_b[0] = 2.000000, sum[0] = 25.000000 
d_a[1] = 43.000000, d_b[1] = 11.000000, sum[1] = 54.000000 
d_a[2] = 24.000000, d_b[2] = 43.000000, sum[2] = 67.000000 
d_a[3] = 4.000000, d_b[3] = 43.000000, sum[3] = 47.000000 
d_a[4] = 6.000000, d_b[4] = 31.000000, sum[4] = 37.000000 
d_a[5] = 42.000000, d_b[5] = 47.000000, sum[5] = 89.000000 
d_a[6] = 31.000000, d_b[6] = 27.000000, sum[6] = 58.000000 
d_a[7] = 26.000000, d_b[7] = 28.000000, sum[7] = 54.000000 
